Rank,Male_name,Number_of_males,Female_name,Number_of_females
709,Duke,375,Noor,395
710,Abram,374,Rivka,395
711,Jefferson,374,Amelie,394
712,Vincenzo,372,Jenesis,394
713,Izan,371,Royalty,393
714,Lee,370,Lenora,392
715,Finnley,369,Taytum,392
716,Brayan,368,Jamie,391
717,Raylan,368,Kathryn,391
718,Enoch,367,Aileen,390
719,Avyaan,364,Arlet,390
720,Dexter,364,Coraline,390
721,Salvador,364,Kiana,390
722,Case,362,Kyra,389
723,Misael,362,Araceli,388
724,Forest,361,Azaria,388
725,Nikolas,361,Kenna,388
726,Westin,361,Monica,388
727,Braylon,359,Bethany,386
728,Clyde,359,Laurel,386
729,Ryland,359,Charley,385
730,Otis,358,Karla,385
731,Tommy,358,Kayleigh,385
732,Zeke,358,Rayna,385
733,Yehuda,356,Louisa,383
734,Tomas,355,Celia,382
735,Azrael,354,Emmie,382
736,Dutton,351,Fallon,382
737,Flynn,351,Persephone,381
738,Chandler,348,Winona,381
739,Idris,347,Marisol,380
740,Zamir,347,Lara,379
741,Ambrose,345,Kensley,378
742,Franco,345,Mckinley,378
743,Huxley,345,Michaela,378
744,Wes,345,Novalee,377
745,Chozen,343,Elyse,376
746,Darius,343,Lacey,376
747,Valentin,343,Penny,376
748,Alberto,340,Zelda,376
749,Magnus,340,Alena,375
750,Roger,340,Luz,375
751,Benicio,339,Keilani,374
752,Brycen,339,Nala,374
753,Marcel,339,Paula,374
754,Ryatt,339,Birdie,373
755,Zahir,339,Karsyn,372
756,Keith,336,Lakelyn,372
757,Rayden,336,Miller,372
758,Jamison,335,Jemma,371
759,Teo,335,Aleah,370
760,Skyler,334,Inaya,370
761,Blaze,333,Megan,369
762,Cayson,332,Sloan,369
763,Hugh,332,Charleigh,368
764,Yahir,332,Rosalina,368
765,Cannon,331,Andi,367
766,Yousef,331,Nola,367
767,Bjorn,330,Julie,366
768,Noe,328,Adrianna,365
769,Alonso,327,Kaeli,365
770,Alvaro,327,Addilyn,364
771,Evander,327,Freyja,364
772,Kenai,327,Ramona,364
773,Aurelio,323,Samira,364
774,Jahmir,323,Karina,363
775,Lochlan,323,Denver,362
776,Aron,322,Janelle,362
777,Harry,322,Mikayla,362
778,Nelson,322,Seraphina,362
779,Ray,322,Haley,361
780,Alfredo,321,Indy,361
781,Abdullah,320,Paulina,361
782,Aryan,320,Rowyn,361
783,Conner,320,Milana,359
784,Lennon,320,Chelsea,358
785,Bridger,319,Elina,358
786,Westyn,319,Milena,358
787,Jasiel,318,Valery,358
788,Quentin,318,Ivey,356
789,Trey,317,Maci,356
790,Yael,317,Stormi,356
791,Alvin,316,Brittany,355
792,Casen,316,Madilynn,355
793,Dakari,316,Aila,354
794,Rex,316,Yareli,354
795,Damir,315,Yaretzi,354
796,Waylen,315,Zaylee,354
797,Izael,314,Erin,352
798,Jeremias,314,Adele,351
799,Kaiser,314,Robin,351
800,Kolson,314,Jaliyah,350
801,Ben,313,Maisy,350
802,Kyree,313,Pearl,350
803,Tony,313,Adalee,349
804,Bode,312,Brynleigh,349
805,Jesiah,312,Keyla,349
806,Eiden,311,Alexa,348
807,Jaxxon,310,Baylor,348
808,Jedidiah,310,Jessie,348
809,Remi,310,Cielo,347
810,Robin,310,Braelynn,346
811,Santana,309,Alianna,345
812,Kyren,308,Theodora,343
813,Landen,308,Malaya,341
814,Ezrah,307,Meilani,340
815,Murphy,307,Tallulah,339
816,Castiel,306,Analia,338
817,Boden,305,Nyomi,338
818,Derrick,305,Promise,336
819,Karim,305,Sol,336
820,Mustafa,304,Xyla,336
821,Rey,303,Kylee,334
822,Rudy,303,Marjorie,334
823,Emery,302,Treasure,334
824,Ignacio,302,Soleil,332
825,Jettson,301,Zaria,332
826,Bear,300,Cynthia,331
827,Edison,300,Luella,331
828,Ricky,300,Sky,330
829,Ramon,299,Ayleen,328
830,Anders,297,Neriah,327
831,Gage,297,Iliana,326
832,Guillermo,297,Judith,326
833,Santos,297,Ocean,325
834,Kolter,296,Lea,324
835,Quinton,296,Linda,321
836,Axton,294,Livia,321
837,Abner,293,Maddie,321
838,Alfred,293,Magdalena,321
839,Darwin,293,Elia,320
840,Rohan,291,Kahlani,320
841,Lance,290,Micah,320
842,Avi,288,Tiffany,320
843,Keaton,288,Wrenleigh,320
844,Orlando,288,Zaniyah,320
845,Everest,285,Kallie,319
846,Jagger,285,Love,319
847,Elisha,284,Andie,318
